Card,Card Number,Suit,Upright Meaning,Reversed Meaning,Image
The Fool,0,Major Arcana,"beginnings possibilities, pleasure, thoughtlessness, adventure, opportunity","indecision, hesitation, injustice, apathy, bad choice",image 1
The Magician,1,Major Arcana,"creativity, self-confidence, dexterity, sleight of hand,will-power, skill","delay, unimaginative, insecurity, lack of self-confidence",image 2
The High Priestess,2,Major Arcana,"knowledge, wisdom, learning, intuition, impatience, virtue, purity","selfishness, shallowness, misunderstanding, ignorance",image 3
The Empress,3,Major Arcana,"development, accomplishment action, evolution","inaction, lack on concentration, vacillation, anxiety, infidelity",image 4
The Emperor,4,Major Arcana,"authority, father-figure, structure, solid foundation","domination, excessive control, rigidity, inflexibility",image 5
The Hierophant,5,Major Arcana,"mercy, conformity, forgiveness, social approval, bonded, inspiration","vulnerability, unconventionality, foolish generosity, impotence, frailty, unorthodoxy",image 6
The Lovers,6,Major Arcana,"harmony, trust,romance, optimism, honor, love, harmony","separation, frustration, unreliability,fickleness, untrustworthy",image 7
The Chariot,7,Major Arcana,"perseverance, rushed decision, turmoil, vengeance, adversity","vanquishment, defeat, failure, unsuccessful",image 8
Strength,8,Major Arcana,"courage, conviction, strength, determination, action, heroism, virility","pettiness, sickness, unfaithfulness, weakness",image 9
The Hermit,9,Major Arcana,"inner strength, prudence, withdrawal, caution, vigilance","hastiness, rashness,immaturity, imprudence, foolishness",image 10
Wheel of Fortune,10,Major Arcana,"unexpected events, advancement, destiny, fortune, progress","interruption, outside influences, failure, bad luck",image 11
Justice,11,Major Arcana,"equality, righteousness, virtue, honor, harmony, balance","alse accusation, unfairness, abuse, biased",image 12
The Hanged Man,12,Major Arcana,"change, reversal, boredom, improvement, rebirth, suspension, change","alse prophecy, useless sacrifice, unwillingness",image 13
Death,13,Major Arcana,"unexpected change, loss, failure, transformation, death, bad luck","immobility, slow changes, cheating, death, stagnation",image 14
Temperance,14,Major Arcana,"emperance, patience, good influence, confidence, moderation","conflict, disunion, frustration, impatience, discord",image 15
The Devil,15,Major Arcana,"downfall, unexpected failure, controversy, ravage, disaster, ill tempered","release, enlightenment, divorce, recovery",image 16
The Tower,16,Major Arcana,"disruption, abandonment, end of friendship, bankruptcy, downfall, unexpected events","entrapment, imprisonment, old ways, rustic",image 17
The Star,17,Major Arcana,"balance, pleasure, optimism, insight, spiritual love, hope, faith","disappointment, bad luck, imbalance, broken dreams",image 18
The Moon,18,Major Arcana,"Upright:double-dealing Deception, disillusionment, trickery, error, danger, disgrace","trifling mistakes, deception discovered, negative advantage",image 19
The Sun,19,Major Arcana,"accomplishment, success, love, joy, happy marriage, satisfaction","loneliness, canceled plans, unhappiness, break ups",image 20
Judgement,20,Major Arcana,"awakening, renewal, rejuvenation, rebirth, improvement, promotion, atonement, judgment","disappointment, indecision, death, failure, ill-health, theft, worry",image 21
The World,21,Major Arcana,"perfection, recognition, success, fulfillment, eternal life","ack of vision, disappointment, imperfection",image 22
Ace of Wands,1,Wands,"profitable journey, new business, beginning, new career, birth, inheritance","selfishness, lack of determination, setback",image 23
2 of Wands,2,Wands,"generous person, courage, patience, courage","impatience, domination",image 24
3 of Wands,3,Wands,"cooperation, good partnership, success","carelessness, arrogance, pride, mistakes",image 25
4 of Wands,4,Wands,"dissatisfaction, kindness, reevaluation","new relationship, new ambitions, action",image 26
5 of Wands,5,Wands,"lawsuit or quarrel, courage, competition","new opportunities, harmony, generosity",image 27
6 of Wands,6,Wands,"leadership, good news, success","postponement, bad news, pride in riches",image 28
7 of Wands,7,Wands,"stiff competition, victory, courage, energy","advantage, patience, indecision",image 29
8 of Wands,8,Wands,"new ideas, love, journey","violence, quarrels, courage",image 30
9 of Wands,9,Wands,"victory, good health, obstinacy","weakness, ill-health, adversity",image 31
10 of Wands,10,Wands,"pain, ruined, failure","cleverness, energy, strength",image 32
Page of Wands,11,Wands,"enthusiasm, exploration, discovery, free spirit","setbacks to new ideas, pessimism, lack of direction",image 33
Knight of Wands,12,Wands,"generous, journey, impetuous","suspicion, jealousy, narrow-mindedness",image 34
Queen of Wands,13,Wands,"fondness, attraction, command","jealous, revengeful, infidelity",image 35
King of Wands,14,Wands,"passionate, good leader, noble","unyielding, prejudice, quarrels",image 36
Ace of Swords,1,Swords,"love, valiant, victory","obstacles, tyranny, power",image 37
2 of Swords,2,Swords,"indecision, trouble, balanced","unscrupulous, release",image 38
3 of Swords,3,Swords,"broken relationship, civil war","sorrow, loss, confusion",image 39
4 of Swords,4,Swords,"temporary exile, strife, retreat","social unrest, labor strikes, renewed activity",image 40
5 of Swords,5,Swords,"defeat, cowardliness, empty victory","unfairness, defeat, loss",image 41
6 of Swords,6,Swords,"harmony, sorrow, journey","obstacles, difficulties, defeat",image 42
7 of Swords,7,Swords,"betrayal, insolence, unwise attempt","counsel, helpful, advice",image 43
8 of Swords,8,Swords,"weakness, indecision, censure","freedom, new beginnings, relaxation",image 44
9 of Swords,9,Swords,"desolation, illness, suspicion, cruelty","unselfishness, good news, healing",image 45
10 of Swords,10,Swords,"defeat, failure, pain","courage, positive energy, good health",image 46
Page of Swords,11,Swords,"grace, diplomacy, dexterity, grace","imposture, ill-health, cunningness",image 47
Knight of Swords,12,Swords,"strong man, braver, clever person","troublemaker, a crafty, tyranny",image 48
Queen of Swords,13,Swords,"skillful, brave, clever, rush","sly, keen, deceitful",image 49
King of Swords,14,Swords,"powerful, friendship, counselor","obstinate, evil intentions, judgments",image 50
Ace of Cups,1,Cups,"good health, love, joy, beauty","egotism, selfishness, hesitancy",image 51
